E1,E2,E3,E4,P1,P2,P3,P4
4.980933953874367e-06,7.620126938835714e-06,9.756402837084814e-06,-1.3756941548005099e-06,8.255119677627182e-05,5.2348438665540654e-05,2.2310885902270767e-05,6.676004613857643e-05
5.538576530492236e-06,8.449010211608472e-06,1.0833978661423552e-05,-1.5007838349542935e-06,9.13438972263996e-05,5.798649966482763e-05,2.478724004340753e-05,7.388477076612153e-05
6.121953927118682e-06,9.312904489531431e-06,1.1959339797840507e-05,-1.6277749191069117e-06,0.00010048224644558305,6.385501454847332e-05,2.7375069377641247e-05,8.12914862393936e-05
6.730439321647261e-06,1.0210713659853493e-05,1.3131181035505238e-05,-1.7563300552545197e-06,0.0001099533072009553,6.994614575486517e-05,3.0071461290766192e-05,8.896979448569514e-05
7.363402031877887e-06,1.114135495610868e-05,1.4348201491326201e-05,-1.886133788274101e-06,0.00011974443503347774,7.625219234092636e-05,3.287350358450556e-05,9.690952219980555e-05
8.020208569354695e-06,1.2103759393335187e-05,1.5609105919448613e-05,-2.016891449131576e-06,0.0001298432739258786,8.27655901675654e-05,3.577828804306274e-05,0.00010510071809526853
8.70022362859096e-06,1.3096872161561103e-05,1.6912605931929286e-05,-2.1483280941986444e-06,0.000140237751957339,8.947891193705792e-05,3.878291376879728e-05,0.00011353365010926838
9.4028110147489e-06,1.4119652979758573e-05,1.8257421134900398e-05,-2.28018749256433e-06,0.00015091607694963445,9.638486709131855e-05,4.1884490298104485e-05,0.0001221988025663844
1.012733451271113e-05,1.5171076412370088e-05,1.9642280184349764e-05,-2.4122311593127674e-06,0.00016186673210916462,0.00010347630157960662,4.508014050810484e-05,0.0001310868733062333
1.0873158700354735e-05,1.6250132150416825e-05,2.1065921765468196e-05,-2.5442374328209816e-06,0.00017307847166904658,0.00011074619750381488,4.83670033242969e-05,0.000140188770779745
1.1639649708718257e-05,1.7355825259108746e-05,2.252709549934471e-05,-2.676000594209342e-06,0.0001845403165351967,0.00011818767264910948,5.174223623889117e-05,0.00014949561111856166
1.2426175931636122e-05,1.848717639379012e-05,2.4024562780627227e-05,-2.8073300271532503e-06,0.00019624154994008804,0.00012579397990732707,5.52030176491259e-05,0.0001589987151818084
1.3232108687303914e-05,1.9643221985971087e-05,2.5557097549610103e-05,-2.938049416337439e-06,0.00020817171310764614,0.00013355850660018564,5.8746549024464004e-05,0.00016868960558425036
1.4056822834131428e-05,2.0823014401116794e-05,2.7123487002059276e-05,-3.0679959829042493e-06,0.00022032060093252908,0.00014147477370903187,6.237005691118631e-05,0.00017856000370962963
1.4899697343138086e-05,2.202562206978961e-05,2.8722532239942295e-05,-3.197019755314453e-06,0.00023267825767683058,0.00014953643501752794,6.607079478252695e-05,0.0001886018267127639
1.5760115829047435e-05,2.3250129593666936e-05,3.0353048866091704e-05,-3.324982874103714e-06,0.00024523497268705123,0.00015773727617337418,6.984604474214279e-05,0.00019880718451378425
1.66374670421432e-05,2.4495637827887547e-05,3.2013867525697776e-05,-3.451758929079798e-06,0.00025798127613399334,0.00016607121367487042,7.369311908836847e-05,0.0002091683767876978
1.7531145322859393e-05,2.5761263941112347e-05,3.37038343973995e-05,-3.57723232756514e-06,0.00027090793477805897,0.00017453229378783735,7.760936174638344e-05,0.00021967788995227544
1.8440551020990317e-05,2.7046141454621418e-05,3.542181163662023e-05,-3.7012976923465603e-06,0.00028400594776225826,0.00018311469139815052,8.159214957510399e-05,0.00023032839415708725
1.936509088132343e-05,2.8349420261707856e-05,3.716667777367783e-05,-3.823859288048818e-06,0.0002972665424350762,0.00019181270880488116,8.563889355531357e-05,0.00024111274027634153
2.0304178397418543e-05,2.967026662857007e-05,3.893732806908607e-05,-3.944830474701389e-06,0.00031068117020519064,0.00020062077445879176,8.974703986525706e-05,0.00025202395690802096
2.125723413518051e-05,3.1007863177847887e-05,4.0732674828357185e-05,-4.064133187318487e-06,0.0003242415024298865,0.00020953344165069678,9.3914070849648e-05,0.0002630552473816566
2.2223686027799473e-05,3.236140885589395e-05,4.255164767851136e-05,-4.181697440360948e-06,0.0003379394263388752,0.00021854538715397544,9.813750588777454e-05,0.0002741999867769345
