E1,E2,E3,E4,P1,P2,P3,P4
0.00019372493565828917,0.00025900923093726273,0.0003602469812346544,-8.52871774649259e-06,0.002509923602676386,0.0016957847103325472,0.0008480864006542178,0.0020228125627718184
0.00019372486729861673,0.0002590091837812123,0.0003602471252616925,-8.52879414691092e-06,0.002509923828383697,0.0016957851744606697,0.0008480867972100293,0.0020228127378546642
0.00019372479329167488,0.00025900913169073914,0.00036024727430302887,-8.528875689241096e-06,0.002509924054702955,0.0016957856535868663,0.0008480872111398175,0.002022812914033288
0.0001937247142003229,0.00025900907514363934,0.00036024742776285347,-8.52896184838846e-06,0.0025099242813601806,0.0016957861459026846,0.0008480876405130304,0.0020228130910187993
0.00019372463057350524,0.0002590090146059285,0.000360247585060267,-8.529052112259807e-06,0.0025099245080886035,0.0016957866496449868,0.0008480880834471934,0.0020228132685298226
0.00019372454294625143,0.0002590089505318419,0.00036024774562928125,-8.529145981763383e-06,0.002509924734628666,0.0016957871630959485,0.0008480885381079105,0.002022813446292503
0.00019372445183967615,0.0002590088833638346,0.00036024790891881885,-8.529242970808902e-06,0.0025099249607280177,0.0016957876845830606,0.0008480890027088634,0.0020228136240405003
0.00019372435776097917,0.0002590088135325809,0.000360248074392713,-8.529342606307523e-06,0.0025099251861415207,0.0016957882124791275,0.0008480894755118111,0.0020228138015149937
0.00019372426120344528,0.00025900874145697527,0.0003602482415297085,-8.52944442817186e-06,0.002509925410631248,0.001695788745202269,0.0008480899548265912,0.0020228139784646774
0.00019372416264644448,0.0002590086675441313,0.0003602484098234603,-8.529547989315992e-06,0.0025099256339664784,0.0016957892812159178,0.0008480904390111189,0.0020228141546457645
0.00019372406255543177,0.00025900859218938273,0.0003602485787825347,-8.52965285565544e-06,0.0025099258559237066,0.001695789819028822,0.000848090926471387,0.0020228143298219856
0.00019372396138194733,0.00025900851577628233,0.0003602487479304088,-8.529758606107196e-06,0.0025099260762866354,0.0016957903571950437,0.0008480914156614671,0.002022814503764586
0.00019372385956361639,0.000259008438676603,0.00036024891680547065,-8.529864832589693e-06,0.002509926294846176,0.0016957908943139592,0.0008480919050835077,0.0020228146762523327
0.00019372375752414934,0.000259008361250337,0.00036024908496101884,-8.529971140022825e-06,0.0025099265114004532,0.0016957914290302591,0.0008480923932877355,0.0020228148470715053
0.0001937236556733416,0.0002590082838456965,0.0003602492519652634,-8.530077146327949e-06,0.0025099267257548,0.0016957919600339485,0.0008480928788724552,0.0020228150160159046
0.00019372355440707372,0.00025900820679911285,0.0003602494174013248,-8.530182482427862e-06,0.0025099269377217596,0.0016957924860603474,0.0008480933604840498,0.002022815182886846
0.00019372345410731135,0.00025900813043523745,0.0003602495808672348,-8.530286792246828e-06,0.002509927147121088,0.0016957930058900887,0.0008480938368169788,0.0020228153474931643
0.00019372335514210523,0.0002590080550669412,0.0003602497419759356,-8.530389732710563e-06,0.002509927353779747,0.0016957935183491207,0.0008480943066137813,0.0020228155096512104
0.00019372325786559127,0.00025900798099531456,0.00036024990035528066,-8.53049097374624e-06,0.0025099275575319138,0.0016957940223087055,0.0008480947686650735,0.002022815669184851
0.00019372316261799026,0.0002590079085096678,0.00036025005564803414,-8.530590198282485e-06,0.0025099277582189715,0.0016957945166854202,0.0008480952218095489,0.0020228158259254737
0.00019372306972560845,0.0002590078378875305,0.00036025020751187146,-8.530687102249378e-06,0.0025099279556895174,0.0016957950004411555,0.0008480956649339797,0.0020228159797119807
0.00019372297950083687,0.0002590077693946523,0.0003602503556193782,-8.530781394578456e-06,0.002509928149799355,0.001695795472583117,0.000848096096973216,0.0020228161303907917
0.00019372289224215173,0.0002590077032850021,0.0003602504996580516,-8.530872797202717e-06,0.0025099283404115018,0.0016957959321638237,0.0008480965169101855,0.002022816277815845
0.00019372280823411455,0.0002590076398007686,0.00036025063933029926,-8.53096104505661e-06,0.0025099285273961843,0.00169579637828111,0.0008480969237758935,0.002022816421848595
0.0001937227277473716,0.0002590075791723601,0.0003602507743534401,-8.531045886076033e-06,0.002509928710630837,0.0016957968100781244,0.0008480973166494239,0.0020228165623580145
0.00019372265103865453,0.0002590075216184046,0.0003602509044597037,-8.53112708119835e-06,0.002509928890000109,0.0016957972267433292,0.000848097694657938,0.0020228166992205918
0.00019372257835077996,0.00025900746734574973,0.00036025102939623037,-8.531204404362372e-06,0.002509929065395857,0.0016957976275105008,0.0008480980569766747,0.0020228168323203352
0.00019372250991264966,0.0002590074165494626,0.0003602511489250717,-8.531277642508375e-06,0.0025099292367171478,0.0016957980116587316,0.0008480984028289517,0.002022816961548767
0.00019372244593925044,0.00025900736941283003,0.00036025126282319,-8.53134659557808e-06,0.0025099294038702586,0.001695798378512426,0.0008480987314861639,0.00202281708680493
0.00019372238663165425,0.0002590073261073587,0.0003602513708824581,-8.531411076514668e-06,0.0025099295667686795,0.0016957987274413041,0.0008480990422677843,0.0020228172079953814
0.00019372233217701822,0.0002590072867927745,0.00036025147290966067,-8.531470911262775e-06,0.002509929725333107,0.001695799057860401,0.0008480993345413635,0.002022817325034199
0.0001937222827485844,0.0002590072516170233,0.0003602515687264922,-8.531525938768497e-06,0.002509929879491452,0.0016957993692300645,0.0008480996077225304,0.0020228174378429742
0.00019372223850568006,0.0002590072207162704,0.00036025165816955875,-8.53157601097938e-06,0.002509930029178831,0.0016957996610559572,0.0008480998612749918,0.002022817546350818
0.00019372219959371762,0.0002590071942149009,0.0003602517410903771,-8.531620992844422e-06,0.0025099301743375744,0.0016957999328890572,0.0008481000947105317,0.0020228176504943586
0.00019372216614419442,0.00025900717222551934,0.0003602518173553749,-8.531660762314086e-06,0.002509930314917222,0.001695800184325655,0.0008481003075890129,0.002022817750217742
0.00019372213827469311,0.0002590071548489501,0.0003602518868458907,-8.531695210340285e-06,0.0025099304508745235,0.0016958004150073565,0.0008481004995183756,0.002022817845472628
0.00019372211608888128,0.000259007142174237,0.00036025194945817394,-8.531724240876384e-06,0.0025099305821734393,0.0016958006246210826,0.0008481006701546379,0.002022817936218199
0.00019372209967651171,0.0002590071342786436,0.000360252005103385,-8.531747770877211e-06,0.00250993070878514,0.001695800812899067,0.0008481008192018958,0.0020228180224211513
0.0001937220891134222,0.00025900713122765326,0.00036025205370759515,-8.531765730299047e-06,0.0025099308306880067,0.001695800979618859,0.0008481009464123234,0.002022818104055698
