E1,E2,E3,E4
0.00010711417026064085,0.00013447965463129845,0.00019152047989856502,5.45016569623369e-06
0.00010829142644552815,0.00013595785752136064,0.00019362510397152947,5.509556398749006e-06
0.00010946153803802559,0.0001374270953720111,0.00019571694522307724,5.568570027022173e-06
0.00011062445497809887,0.00013888730530631026,0.0001977959141963929,5.6272041138200576e-06
0.00011178012752570057,0.0001403384248478296,0.00019986192200877287,5.6854562114233815e-06
0.00011292850626077041,0.0001417803919206518,0.00020191488035162572,5.743323891626727e-06
0.00011406954208323505,0.00014321314484937064,0.00020395470149047208,5.800804745738542e-06
0.00011520318621300807,0.00014463662235909104,0.00020598129826494445,5.857896384581125e-06
0.00011632939018999017,0.00014605076357542907,0.00020799458408878748,5.91459643849064e-06
0.00011744810587406902,0.00014745550802451192,0.00020999447294985782,5.97090255731711e-06
0.00011855928544511924,0.00014885079563297792,0.0002119808794101241,6.026812410424416e-06
0.0001196628814030025,0.00015023656672797652,0.0002139537186056671,6.082323686690302e-06
0.00012075884656756747,0.0001516127620371684,0.0002159129062466795,6.13743409450637e-06
0.00012184713407864974,0.00015297932268872516,0.00021785835861746605,6.192141361778079e-06
0.00012292769739607201,0.0001543361902113298,0.00021978999257644358,6.246443235924753e-06
0.00012400049029964396,0.0001556833065341763,0.00022170772555614088,6.300337483879573e-06
0.00012506546688916217,0.00015702061398696978,0.0002236114755631987,6.353821892089577e-06
0.00012612258158441032,0.00015834805529992653,0.00022550116117837007,6.406894266515668e-06
0.0001271717891251591,0.00015966557360377399,0.0002273767015565198,6.4595524326326084e-06
0.00012821304457116613,0.0001609731124297507,0.0002292380164266248,6.511794235429015e-06
0.00012924630330217603,0.00016227061570960635,0.0002310850260917741,6.563617539407368e-06
0.00013027152101792054,0.00016355802777560181,0.00023291765142916858,6.615020228584011e-06
0.0001312886537381182,0.00016483529336050896,0.00023473581389012128,6.66600020648914e-06
0.0001322976578024748,0.000166102357597611,0.00023653943550005731,6.7165553961668144e-06
0.00013329848987068282,0.00016735916602070205,0.0002383284388585136,6.7666837401749545e-06
0.00013429110692242204,0.00016860566456408757,0.0002401027471391393,6.8163832005853384e-06
0.00013527546625735908,0.00016984179956258406,0.0002418622840896956,6.865651758983607e-06
0.00013625152549514758,0.0001710675177515191,0.00024360697403205559,6.914487416469255e-06
0.00013721924257542817,0.00017228276626673155,0.0002453367418622044,6.962888193655643e-06
0.0001381785757578286,0.00017348749264457127,0.0002470515130502393,7.010852130669989e-06
0.00013912948362196337,0.00017468164482189934,0.00024875121364036946,7.05837728715337e-06
0.00014007192506743424,0.00017586517113608787,0.0002504357702509162,7.105461742260723e-06
0.00014100587665819144,0.00017703804211832464,0.00025210514105817125,7.152104431133099e-06
0.00014193148754616534,0.00017820044511761415,0.000253759592611811,7.198312718131848e-06
0.00014284885168541197,0.0001793524980550579,0.00025539929296898686,7.244091493835694e-06
0.00014375803132504771,0.0001804942790091298,0.0002570243535574153,7.289444133313978e-06
0.0001446590877210838,0.00018162586481224808,0.00025863488402784045,7.3343739589469305e-06
0.0001455520811364266,0.00018274733105077553,0.00026023099225403487,7.37888424042567e-06
0.00014643707084087735,0.0001838587520650195,0.00026181278433279884,7.4229781947522044e-06
0.00014731411511113228,0.0001849602009492317,0.00026338036458396075,7.466658986239426e-06
0.00014818327123078257,0.00018605174955160843,0.0002649338355503771,7.509929726511118e-06
0.00014904459549031443,0.0001871334684742904,0.00026647329799793225,7.552793474501949e-06
0.0001498981431871089,0.00018820542707336289,0.00026799885091553864,7.5952532364574775e-06
0.0001507439686254422,0.00018926769345885562,0.0002695105915151367,7.63731196593415e-06
0.00015158212511648536,0.00019032033449474276,0.00027100861523169495,7.678972563799296e-06
0.00015241266497830437,0.00019136341579894302,0.0002724930157232099,7.72023787823114e-06
